label,hand_mode,recorded_hand,R.Thumb,R.Index,R.Middle,R.Ring,R.Pinky,L.Thumb,L.Index,L.Middle,L.Ring,L.Pinky,aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4360,0.4900,-0.8150,0.2640,-0.5010,0.8790,-0.4524,-4.5831,0.8880,0.2271,-1.0203,0.0357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4370,0.4830,-0.8060,0.2740,-0.5130,0.8870,1.1576,-2.3031,0.8280,0.9071,-0.3303,1.1757
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4320,0.4720,-0.7900,0.2640,-0.5020,0.8800,0.5976,0.8769,0.4180,0.5271,-0.4003,0.5457
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4430,0.4830,-0.7910,0.2620,-0.5060,0.8560,-0.6024,0.0769,-0.2320,0.1871,-1.0103,1.5357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4310,0.4940,-0.7990,0.2790,-0.5130,0.8620,2.7076,0.9969,1.4880,1.9171,0.5297,0.8657
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4300,0.4950,-0.7990,0.3040,-0.5530,0.8880,1.1876,1.1169,-1.8120,3.5771,3.9597,3.8957
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4200,0.4970,-0.8000,0.2860,-0.5160,0.8820,7.1076,10.6469,-0.2220,-1.6029,0.5997,0.8957
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4290,0.4850,-0.7830,0.2580,-0.4980,0.8790,0.6476,0.8469,-0.7920,-0.9329,-1.6303,0.3457
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4330,0.4950,-0.7970,0.2690,-0.5010,0.8770,2.4276,4.2069,0.4280,0.3671,-1.7303,-0.2243
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4320,0.4970,-0.8030,0.2680,-0.4950,0.8940,-1.1524,1.1169,-1.7520,0.4971,-2.5903,-1.3943
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4400,0.4830,-0.7890,0.2680,-0.5160,0.8720,-0.5724,-1.0931,3.5080,1.4771,-0.9903,1.2857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410,0.4770,-0.7800,0.2820,-0.5090,0.8830,-2.4124,-0.4231,-0.3820,-2.5129,-2.1803,0.5157
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4320,0.4850,-0.7720,0.2810,-0.5090,0.8880,-0.9324,3.8669,1.6180,-1.7629,-3.3603,-3.6143
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4580,0.4950,-0.8280,0.2610,-0.4960,0.8690,0.9976,3.8669,0.4980,0.5271,-0.8603,-0.3143
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4760,0.5080,-0.8560,0.2660,-0.5100,0.8760,5.2376,2.5969,-1.1620,-0.7729,0.0197,1.9957
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4590,0.4910,-0.8000,0.2660,-0.5040,0.8720,8.4276,-0.3131,1.1180,-0.7729,-2.3503,-0.4643
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4220,0.4760,-0.7330,0.2690,-0.5080,0.8800,4.9776,-2.9731,1.4680,0.2471,-0.5903,0.6557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3810,0.4700,-0.6920,0.2700,-0.5030,0.8820,-5.7024,-8.5931,1.8980,0.9171,0.3097,1.1957
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3750,0.4630,-0.7070,0.2700,-0.5030,0.8850,-8.0924,-2.9531,3.4780,0.2971,-0.7203,-0.0343
